State;Education;Certification;Partitipation;Subdiscipline;Sector;Salary
Illinois;Bachelors Degree;PE;Full Time;Construction/Field;Private;125000
California;Masters Degree;PE;Full Time;Water Resources;Public;150000
Georgia;Masters Degree;PE;Full Time;Geotechnical;Private;150000
Illinois;Bachelors Degree;PE;Full Time;Land Development;Private;90000
North Carolina;Masters Degree;PE;Full Time;Aviation;Public;105000
California;Masters Degree;PE;Full Time;Water Resources;Public;121000
California;Bachelors Degree;EIT;Full Time;Transportation;Private;89000
North Carolina;Bachelors Degree;EIT;Full Time;Structural;Private;69000
California;Bachelors Degree;EIT;Full Time;Structural;Private;75920
Texas;Bachelors Degree;PE;Full Time;Water Resources;Private;155000
California;Masters Degree;PE;Full Time;Government/Municipal;Public;164000
Illinois;Bachelors Degree;PE;Full Time;Construction/Field;Public;118000
Kentucky;Bachelors Degree;PE;Full Time;Geotechnical;Private;100000
Texas;Bachelors Degree;EIT;Full Time;Land Development;Private;92000
Colorado;Bachelors Degree;EIT;Full Time;Transportation;Public;76000
Florida;Bachelors Degree;EIT;Full Time;Transportation;Private;73000
New Jersey;Bachelors Degree;PE;Full Time;Land Development;Private;80400
Utah;Bachelors Degree;EIT;Full Time;Transportation;Public;75004
Georgia;Bachelors Degree;PE;Full Time;Land Development;Public;110000
California;Bachelors Degree;PE;Full Time;Structural;Private;130000
Virginia;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;86000
New York;Bachelors Degree;EIT;Full Time;Structural;Private;81000
Minnesota;Bachelors Degree;EIT;Full Time;Transportation;Private;71000
California;Masters Degree;None;Full Time;Government/Municipal;Public;82000
Maryland;Bachelors Degree;PE;Full Time;Land Development;Private;113360
Oregon;Associates Degree;None;Full Time;Land Development;Private;68500
Idaho;Bachelors Degree;PE;Full Time;Bridges;Private;86400
Hawaii;Bachelors Degree;EIT;Full Time;Construction/Field;Private;77000
California;Bachelors Degree;PE;Full Time;Government/Municipal;Public;122220
Ohio;Masters Degree;EIT;Full Time;Transportation;Private;86000
Missouri;Bachelors Degree;PE;Full Time;Land Development;Private;90000
Nevada;Bachelors Degree;PE;Full Time;Water Resources;Private;77500
Michigan;Bachelors Degree;None;Full Time;Construction/Field;Private;107000
New Hampshire;Bachelors Degree;PE;Full Time;Wastewater;Private;109900
New York;Bachelors Degree;PE;Full Time;Transportation;Private;149000
Minnesota;Bachelors Degree;PE;Full Time;Government/Municipal;Public;122000
Ohio;Bachelors Degree;EIT;Full Time;Transportation;Private;65000
Pennsylvania;Masters Degree;PE;Full Time;Water Resources;Private;102000
Virginia;Masters Degree;PE;Full Time;Water Resources;Private;98000
Georgia;Bachelors Degree;EIT;Full Time;Transportation;Public;78500
Ohio;Bachelors Degree;PE;Full Time;Water Resources;Public;79000
California;Bachelors Degree;PE;Full Time;Transportation;Private;160000
New York;Doctorate Degree;EIT;Working in a different industry;Renewables;Private;122000
